id;title;cover_image;release_date;album_type;artist_id
1;gah holster;properly scotch apropos;2026-04-09;EP;1
2;valuable meager metallic;catalyst;2026-04-09;EP;2
3;well-to-do;before oh cycle;2026-04-09;EP;3
4;because serenade;hyphenation;2026-04-10;ALBUM;4
5;energetically ick commonly;accessorise crumble;2026-04-10;PODCAST_SERIES;5
6;legal pixellate orchid;unknown;2026-04-10;ALBUM;6
7;laughter pepper;pop;2026-04-09;EP;7
8;wilted nervous spattering;besides into executor;2026-04-10;PODCAST_SERIES;8
9;but cross-contamination versus;failing silently;2026-04-10;EP;9
10;bah atop;amongst;2026-04-10;ALBUM;10
11;yum along;instructive so;2026-04-09;ALBUM;11
12;about;owlishly;2026-04-09;ALBUM;12
13;along gifted behind;bravely knavishly except;2026-04-10;PODCAST_SERIES;13
14;um;huzzah;2026-04-10;SINGLE;14
15;yet verbally boo;for;2026-04-09;PODCAST_SERIES;15
16;blue equate for;clinch exactly;2026-04-10;PODCAST_SERIES;16
17;foolishly;golden;2026-04-10;PODCAST_SERIES;17
18;cloudy ecliptic ha;radiant worthwhile allocation;2026-04-10;SINGLE;18
19;inside meatloaf;likewise incidentally hmph;2026-04-10;EP;19
20;harp heroine uh-huh;heavily;2026-04-10;EP;20
21;psst since corral;how worth stingy;2026-04-09;SINGLE;21
22;provided;nor catch gah;2026-04-10;SINGLE;22
23;before while hm;yak;2026-04-09;EP;23
24;madly;beside who seldom;2026-04-10;PODCAST_SERIES;24
25;provider;meanwhile pricey;2026-04-09;PODCAST_SERIES;25
26;likewise confute;tender enroll;2026-04-10;PODCAST_SERIES;26
27;perky confide;seldom;2026-04-09;PODCAST_SERIES;27
28;huzzah;chow violently blind;2026-04-10;SINGLE;28
29;grass;utilization;2026-04-10;ALBUM;29
30;after igloo colorize;divert sparkling;2026-04-10;SINGLE;30
